id,antimicrobial
betaL-g0179_ACT-14,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0180_ACT-15,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0181_ACT-16,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0182_ACT-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0183_ACT-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0184_ACT-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0185_ACT-5,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0186_ACT-6,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0187_ACT-7,
betaL-g0188_ACT-9,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0189_ADC-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0190_ADC-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0191_ADC-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0192_ADC-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0193_ADC-5,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0194_ADC-6,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0195_ADC-7,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0196_AER-1,
betaL-g0197_ampC_Chr,
betaL-g0199_AST-1,
betaL-g0201_B-10,
betaL-g0202_B-11,
betaL-g0203_B-12,
betaL-g0204_B-13,
betaL-g0205_B-14,
betaL-g0206_B-2,
betaL-g0207_B-3,
betaL-g0208_B-4,
betaL-g0209_B-5,
betaL-g0210_B-6,
betaL-g0211_B-7,
betaL-g0212_B-8,
betaL-g0213_B-9,
betaL-g0214_BEL-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0215_BEL-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0216_BEL-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0217_BES-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0218_BIC-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0219_BIL-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0220_BRO-1,
betaL-g0221_CARB-1,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0222_CARB-10,"Amoxicillin, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam"
betaL-g0223_CARB-12,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0224_CARB-2,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0225_CARB-3,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0226_CARB-4,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0227_CARB-5,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0228_CARB-6,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0229_CARB-7,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0230_CARB-8,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0231_CARB-9,"Ampicillin, Amoxicillin, Piperacillin"
betaL-g0232_CblA,
betaL-g0233_CepA,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0234_CepA-14,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0235_CepA-29,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0236_CepA-44,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0237_CepA-85,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0238_CFE-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0239_cfiA-1,
betaL-g0240_cfiA-10,
betaL-g0241_cfiA-11,
betaL-g0242_cfiA-12,
betaL-g0243_cfiA-13,
betaL-g0244_cfiA-14,
betaL-g0246_cfiA-16,
betaL-g0247_cfiA-2,
betaL-g0248_cfiA-3,
betaL-g0251_cfiA-6,
betaL-g0253_cfiA-8,
betaL-g0254_cfiA-9,
betaL-g0255_cfxA,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0256_cfxA-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0257_cfxA-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0258_cfxA-5,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0259_cfxA-6,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0260_CGA-1,
betaL-g0261_CGB-1,
betaL-g0262_CIA-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0263_CIA-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0264_CIA-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0265_CIA-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0266_CKO-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0267_CME-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0268_CME-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0269_CMG-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0270_CMH-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0271_CMY-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0272a_CMY-10,
betaL-g0273_CMY-104,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0274a_CMY-11,
betaL-g0275_CMY-110,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0276_CMY-12,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0277_CMY-13,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0278_CMY-14,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0279_CMY-15,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0281_CMY-16,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0282_CMY-17,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0283_CMY-18,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0284_CMY-19,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0285_CMY-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0286_CMY-20,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0287_CMY-21,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0288_CMY-22,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0289_CMY-23,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0290_CMY-24,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0291_CMY-25,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0292_CMY-26,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0293_CMY-27,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0294_CMY-28,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0295_CMY-29,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0297_CMY-30,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0298_CMY-31,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0299_CMY-32,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0300_CMY-33,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0301_CMY-34,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0302_CMY-35,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0303_CMY-36,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0304_CMY-37,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0305a_CMY-38,
betaL-g0306_CMY-39,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0307_CMY-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0308_CMY-40,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0309_CMY-41,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0310_CMY-43,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0311_CMY-44,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0312_CMY-45,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0313_CMY-47,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0314_CMY-48,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0315_CMY-49,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0316_CMY-5,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0317_CMY-53,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0318_CMY-54,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0319_CMY-55,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0320_CMY-56,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0321_CMY-57,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0322_CMY-58,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0323_CMY-59,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0325_CMY-6,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0326_CMY-60,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0327_CMY-64,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0328_CMY-65,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0329_CMY-66,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0330_CMY-67,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0331_CMY-68,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0332_CMY-7,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0333_CMY-70,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0334_CMY-71,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0335_CMY-72,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0337_CMY-74,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0338_CMY-75,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0339_CMY-76,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0340_CMY-77,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0341_CMY-78,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0342_CMY-79,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0343_CMY-8,
betaL-g0344_CMY-80,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0345_CMY-81,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0346_CMY-83,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0347_CMY-84,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0348_CMY-87,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0349a_CMY-8b,
betaL-g0350_CMY-9,
betaL-g0351_CMY-94,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0352_CMY-95,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0353_CMY-98,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0354_CMY-99,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0355_cphA-2,
betaL-g0356_cphA-4,
betaL-g0357_cphA-5,
betaL-g0358_cphA-6,
betaL-g0359_cphA-7,
betaL-g0360_cphA-8,
betaL-g0361_CSP-1,
betaL-g0362_CTX-M-1,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0363_CTX-M-10,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0364_CTX-M-100,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0365_CTX-M-101,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0366_CTX-M-102,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0367_CTX-M-104,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0368_CTX-M-105,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0369_CTX-M-106,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0370a_CTX-M-107,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0371_CTX-M-108,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0372a_CTX-M-109,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0373_CTX-M-11,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0374_CTX-M-110,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0375_CTX-M-111,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0376_CTX-M-112,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0377_CTX-M-113,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0378_CTX-M-114,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0379_CTX-M-116,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0380_CTX-M-117,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0381_CTX-M-12,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0382_CTX-M-121,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0383_CTX-M-122,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0384_CTX-M-123,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0385_CTX-M-124,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0386_CTX-M-126,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0387_CTX-M-129,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0388_CTX-M-13,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0389_CTX-M-130,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0390_CTX-M-131,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0391_CTX-M-132,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0392_CTX-M-133,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0393_CTX-M-134,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0394_CTX-M-136,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0395_CTX-M-137,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0396_CTX-M-139,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0397_CTX-M-14,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0398_CTX-M-141,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0399_CTX-M-142,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0400_CTX-M-147,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0401_CTX-M-15,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0402_CTX-M-16,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0403_CTX-M-17,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0404_CTX-M-19,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0405_CTX-M-2,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0406_CTX-M-20,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0407_CTX-M-21,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0408_CTX-M-22,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0409_CTX-M-23,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0410_CTX-M-24,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0411_CTX-M-25,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0412_CTX-M-26,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0413_CTX-M-27,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0414_CTX-M-28,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0415_CTX-M-29,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0416_CTX-M-3,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0417_CTX-M-30,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0418_CTX-M-31,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0419_CTX-M-32,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0420_CTX-M-33,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0421_CTX-M-34,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0422_CTX-M-35,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0423_CTX-M-36,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0424_CTX-M-37,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0425_CTX-M-38,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0426_CTX-M-39,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0427_CTX-M-4,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0428_CTX-M-40,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0429_CTX-M-41,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0430_CTX-M-42,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0431_CTX-M-43,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0432_CTX-M-44,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0433_CTX-M-45,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0434_CTX-M-46,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0435_CTX-M-47,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0436_CTX-M-48,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0437_CTX-M-49,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0438_CTX-M-5,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0439_CTX-M-50,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0440_CTX-M-51,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0441_CTX-M-52,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0442_CTX-M-53,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0443_CTX-M-54,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0444_CTX-M-55,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0445_CTX-M-56,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0446_CTX-M-58,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0447_CTX-M-59,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0448_CTX-M-6,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0449_CTX-M-60,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0450_CTX-M-61,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0451_CTX-M-62,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0452_CTX-M-63,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0453_CTX-M-64,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0454_CTX-M-65,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0455_CTX-M-66,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0456_CTX-M-67,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0457_CTX-M-68,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0458_CTX-M-69,"Cefotaxime, Ceftazidime, Ampicillin"
betaL-g0459_CTX-M-7,"Cefotaxime, Ceftazidime, Ampicillin"
